Vardas              Pavarde             Galutinis(vid)      
_______________________________________________________
Vardas77301         Pavarde77301        1.69                
Vardas63253         Pavarde63253        1.80                
Vardas88160         Pavarde88160        1.83                
Vardas51319         Pavarde51319        1.83                
Vardas95881         Pavarde95881        1.83                
Vardas85200         Pavarde85200        1.83                
Vardas67165         Pavarde67165        1.83                
Vardas67981         Pavarde67981        1.85                
Vardas6289          Pavarde6289         1.88                
Vardas19110         Pavarde19110        1.91                
Vardas6750          Pavarde6750         1.91                
Vardas40261         Pavarde40261        1.91                
Vardas71328         Pavarde71328        1.93                
Vardas44331         Pavarde44331        1.93                
Vardas51169         Pavarde51169        1.93                
Vardas61129         Pavarde61129        1.93                
Vardas43552         Pavarde43552        1.96                
Vardas70041         Pavarde70041        1.96                
Vardas20264         Pavarde20264        1.96                
Vardas69212         Pavarde69212        1.96                
Vardas52663         Pavarde52663        1.96                
Vardas5753          Pavarde5753         1.99                
Vardas89081         Pavarde89081        1.99                
Vardas28960         Pavarde28960        1.99                
Vardas83200         Pavarde83200        1.99                
Vardas3839          Pavarde3839         1.99                
Vardas68255         Pavarde68255        1.99                
Vardas14783         Pavarde14783        1.99                
Vardas95219         Pavarde95219        1.99                
Vardas41353         Pavarde41353        1.99                
Vardas23891         Pavarde23891        2.01                
Vardas13404         Pavarde13404        2.01                
Vardas55274         Pavarde55274        2.01                
Vardas25466         Pavarde25466        2.01                
Vardas34639         Pavarde34639        2.01                
Vardas23006         Pavarde23006        2.01                
Vardas85785         Pavarde85785        2.01                
Vardas34244         Pavarde34244        2.01                
Vardas78492         Pavarde78492        2.01                
Vardas31811         Pavarde31811        2.01                
Vardas17816         Pavarde17816        2.01                
Vardas29007         Pavarde29007        2.04                
Vardas36585         Pavarde36585        2.04                
Vardas69217         Pavarde69217        2.04                
Vardas24686         Pavarde24686        2.04                
Vardas42411         Pavarde42411        2.04                
Vardas98129         Pavarde98129        2.04                
Vardas98186         Pavarde98186        2.04                
Vardas88269         Pavarde88269        2.04                
Vardas70335         Pavarde70335        2.04                
