Vardas              Pavarde             Galutinis(vid)      
_______________________________________________________
Vardas22446         Pavarde22446        5.00                
Vardas38520         Pavarde38520        5.00                
Vardas20783         Pavarde20783        5.00                
Vardas53004         Pavarde53004        5.00                
Vardas94403         Pavarde94403        5.00                
Vardas12390         Pavarde12390        5.00                
Vardas30092         Pavarde30092        5.00                
Vardas72800         Pavarde72800        5.00                
Vardas86049         Pavarde86049        5.00                
Vardas32715         Pavarde32715        5.00                
Vardas87326         Pavarde87326        5.00                
Vardas14617         Pavarde14617        5.00                
Vardas34797         Pavarde34797        5.00                
Vardas6638          Pavarde6638         5.00                
Vardas44885         Pavarde44885        5.00                
Vardas69935         Pavarde69935        5.00                
Vardas79507         Pavarde79507        5.00                
Vardas19717         Pavarde19717        5.00                
Vardas94412         Pavarde94412        5.00                
Vardas26925         Pavarde26925        5.00                
Vardas63830         Pavarde63830        5.00                
Vardas77478         Pavarde77478        5.00                
Vardas10863         Pavarde10863        5.00                
Vardas10853         Pavarde10853        5.00                
Vardas55112         Pavarde55112        5.00                
Vardas47677         Pavarde47677        5.00                
Vardas41812         Pavarde41812        5.00                
Vardas23013         Pavarde23013        5.00                
Vardas58329         Pavarde58329        5.00                
Vardas30499         Pavarde30499        5.00                
Vardas12283         Pavarde12283        5.00                
Vardas10992         Pavarde10992        5.00                
Vardas63858         Pavarde63858        5.00                
Vardas43574         Pavarde43574        5.00                
Vardas3324          Pavarde3324         5.00                
Vardas44893         Pavarde44893        5.00                
Vardas30018         Pavarde30018        5.00                
Vardas91065         Pavarde91065        5.00                
Vardas2003          Pavarde2003         5.00                
Vardas93712         Pavarde93712        5.00                
Vardas88487         Pavarde88487        5.00                
Vardas64435         Pavarde64435        5.00                
Vardas38393         Pavarde38393        5.00                
Vardas47410         Pavarde47410        5.00                
Vardas84304         Pavarde84304        5.00                
Vardas95970         Pavarde95970        5.00                
Vardas22604         Pavarde22604        5.00                
Vardas6201          Pavarde6201         5.00                
Vardas63430         Pavarde63430        5.00                
Vardas39082         Pavarde39082        5.00                
Vardas6121          Pavarde6121         5.00                
Vardas15988         Pavarde15988        5.00                
Vardas39078         Pavarde39078        5.00                
Vardas68683         Pavarde68683        5.00                
Vardas92500         Pavarde92500        5.00                
Vardas88393         Pavarde88393        5.00                
Vardas6251          Pavarde6251         5.00                
Vardas52443         Pavarde52443        5.00                
Vardas57356         Pavarde57356        5.00                
Vardas42212         Pavarde42212        5.00                
Vardas69348         Pavarde69348        5.00                
Vardas79627         Pavarde79627        5.00                
Vardas62652         Pavarde62652        5.00                
Vardas51137         Pavarde51137        5.00                
Vardas86165         Pavarde86165        5.00                
Vardas16143         Pavarde16143        5.00                
Vardas68280         Pavarde68280        5.00                
Vardas68223         Pavarde68223        5.00                
Vardas27432         Pavarde27432        5.00                
Vardas81235         Pavarde81235        5.00                
Vardas21944         Pavarde21944        5.00                
Vardas16100         Pavarde16100        5.00                
Vardas68622         Pavarde68622        5.00                
Vardas12785         Pavarde12785        5.00                
Vardas39136         Pavarde39136        5.00                
Vardas87338         Pavarde87338        5.00                
Vardas89085         Pavarde89085        5.00                
Vardas84133         Pavarde84133        5.00                
Vardas12622         Pavarde12622        5.00                
Vardas45289         Pavarde45289        5.00                
Vardas55906         Pavarde55906        5.00                
Vardas6388          Pavarde6388         5.00                
Vardas20533         Pavarde20533        5.00                
Vardas11920         Pavarde11920        5.00                
Vardas77624         Pavarde77624        5.00                
Vardas42563         Pavarde42563        5.00                
Vardas22049         Pavarde22049        5.00                
Vardas56808         Pavarde56808        5.00                
Vardas63234         Pavarde63234        5.00                
Vardas47348         Pavarde47348        5.00                
Vardas55899         Pavarde55899        5.00                
Vardas80521         Pavarde80521        5.00                
Vardas12145         Pavarde12145        5.00                
Vardas7136          Pavarde7136         5.00                
Vardas51665         Pavarde51665        5.00                
Vardas33753         Pavarde33753        5.00                
Vardas63078         Pavarde63078        5.00                
Vardas15265         Pavarde15265        5.00                
Vardas74419         Pavarde74419        5.00                
Vardas38347         Pavarde38347        5.00                
Vardas29797         Pavarde29797        5.00                
Vardas76722         Pavarde76722        5.00                
Vardas7176          Pavarde7176         5.00                
Vardas6309          Pavarde6309         5.00                
Vardas27474         Pavarde27474        5.00                
Vardas87819         Pavarde87819        5.00                
Vardas15902         Pavarde15902        5.00                
Vardas38202         Pavarde38202        5.00                
Vardas72486         Pavarde72486        5.00                
Vardas93453         Pavarde93453        5.00                
Vardas97360         Pavarde97360        5.00                
Vardas56411         Pavarde56411        5.00                
Vardas62160         Pavarde62160        5.00                
Vardas76128         Pavarde76128        5.00                
Vardas97292         Pavarde97292        5.00                
Vardas64955         Pavarde64955        5.00                
Vardas6753          Pavarde6753         5.00                
Vardas84720         Pavarde84720        5.00                
Vardas20380         Pavarde20380        5.00                
Vardas16432         Pavarde16432        5.00                
Vardas7792          Pavarde7792         5.00                
Vardas63656         Pavarde63656        5.00                
Vardas3224          Pavarde3224         5.00                
Vardas7787          Pavarde7787         5.00                
Vardas89698         Pavarde89698        5.00                
Vardas88318         Pavarde88318        5.00                
Vardas5742          Pavarde5742         5.00                
Vardas81844         Pavarde81844        5.00                
Vardas97847         Pavarde97847        5.00                
Vardas13057         Pavarde13057        5.00                
Vardas81311         Pavarde81311        5.00                
Vardas24662         Pavarde24662        5.00                
Vardas26966         Pavarde26966        5.00                
Vardas57990         Pavarde57990        5.00                
Vardas57800         Pavarde57800        5.00                
Vardas62086         Pavarde62086        5.00                
Vardas5771          Pavarde5771         5.00                
Vardas52939         Pavarde52939        5.00                
Vardas62105         Pavarde62105        5.00                
Vardas12245         Pavarde12245        5.00                
Vardas34994         Pavarde34994        5.00                
Vardas21789         Pavarde21789        5.00                
Vardas50955         Pavarde50955        5.00                
Vardas55475         Pavarde55475        5.00                
Vardas87804         Pavarde87804        5.00                
Vardas48933         Pavarde48933        5.00                
Vardas84353         Pavarde84353        5.00                
Vardas57631         Pavarde57631        5.00                
Vardas11328         Pavarde11328        5.00                
Vardas62450         Pavarde62450        5.00                
Vardas52739         Pavarde52739        5.00                
Vardas57678         Pavarde57678        5.00                
