Vardas              Pavarde             Galutinis(vid)      
_______________________________________________________
Vardas0             Pavarde0            6.83                
Vardas1             Pavarde1            3.28                
Vardas2             Pavarde2            4.64                
Vardas3             Pavarde3            3.41                
Vardas4             Pavarde4            6.85                
Vardas5             Pavarde5            8.40                
Vardas6             Pavarde6            2.41                
Vardas7             Pavarde7            7.43                
Vardas8             Pavarde8            4.31                
Vardas9             Pavarde9            5.43                
Vardas10            Pavarde10           5.71                
Vardas11            Pavarde11           6.24                
Vardas12            Pavarde12           7.35                
Vardas13            Pavarde13           5.68                
Vardas14            Pavarde14           5.67                
Vardas15            Pavarde15           6.07                
Vardas16            Pavarde16           5.13                
Vardas17            Pavarde17           7.37                
Vardas18            Pavarde18           4.48                
Vardas19            Pavarde19           7.83                
Vardas20            Pavarde20           3.27                
Vardas21            Pavarde21           6.84                
Vardas22            Pavarde22           2.60                
Vardas23            Pavarde23           4.59                
Vardas24            Pavarde24           8.13                
Vardas25            Pavarde25           3.91                
Vardas26            Pavarde26           3.83                
Vardas27            Pavarde27           5.68                
Vardas28            Pavarde28           4.67                
Vardas29            Pavarde29           7.61                
Vardas30            Pavarde30           3.85                
Vardas31            Pavarde31           8.00                
Vardas32            Pavarde32           2.95                
Vardas33            Pavarde33           8.67                
Vardas34            Pavarde34           7.72                
Vardas35            Pavarde35           7.07                
Vardas36            Pavarde36           7.80                
Vardas37            Pavarde37           7.00                
Vardas38            Pavarde38           7.69                
Vardas39            Pavarde39           3.13                
Vardas40            Pavarde40           3.33                
Vardas41            Pavarde41           3.79                
Vardas42            Pavarde42           6.73                
Vardas43            Pavarde43           6.15                
Vardas44            Pavarde44           5.63                
Vardas45            Pavarde45           5.68                
Vardas46            Pavarde46           3.08                
Vardas47            Pavarde47           3.25                
Vardas48            Pavarde48           3.03                
Vardas49            Pavarde49           2.83                
Vardas50            Pavarde50           6.25                
Vardas51            Pavarde51           4.67                
Vardas52            Pavarde52           2.41                
Vardas53            Pavarde53           5.60                
Vardas54            Pavarde54           8.05                
Vardas55            Pavarde55           7.36                
Vardas56            Pavarde56           7.89                
Vardas57            Pavarde57           4.87                
Vardas58            Pavarde58           7.29                
Vardas59            Pavarde59           8.56                
Vardas60            Pavarde60           8.03                
Vardas61            Pavarde61           6.77                
Vardas62            Pavarde62           8.27                
Vardas63            Pavarde63           7.37                
Vardas64            Pavarde64           2.63                
Vardas65            Pavarde65           7.51                
Vardas66            Pavarde66           6.39                
Vardas67            Pavarde67           7.77                
Vardas68            Pavarde68           5.53                
Vardas69            Pavarde69           3.61                
Vardas70            Pavarde70           7.31                
Vardas71            Pavarde71           5.92                
Vardas72            Pavarde72           6.60                
Vardas73            Pavarde73           8.43                
Vardas74            Pavarde74           7.75                
Vardas75            Pavarde75           7.36                
Vardas76            Pavarde76           2.73                
Vardas77            Pavarde77           5.32                
Vardas78            Pavarde78           7.04                
Vardas79            Pavarde79           3.15                
Vardas80            Pavarde80           5.65                
Vardas81            Pavarde81           4.72                
Vardas82            Pavarde82           8.21                
Vardas83            Pavarde83           3.33                
Vardas84            Pavarde84           5.81                
Vardas85            Pavarde85           3.33                
Vardas86            Pavarde86           3.71                
Vardas87            Pavarde87           5.21                
Vardas88            Pavarde88           7.45                
Vardas89            Pavarde89           6.83                
Vardas90            Pavarde90           7.23                
Vardas91            Pavarde91           7.40                
Vardas92            Pavarde92           3.93                
Vardas93            Pavarde93           5.71                
Vardas94            Pavarde94           6.91                
Vardas95            Pavarde95           8.21                
Vardas96            Pavarde96           8.13                
Vardas97            Pavarde97           4.87                
Vardas98            Pavarde98           5.73                
Vardas99            Pavarde99           4.17                
Vardas100           Pavarde100          8.08                
Vardas101           Pavarde101          8.27                
Vardas102           Pavarde102          8.24                
Vardas103           Pavarde103          6.21                
Vardas104           Pavarde104          7.48                
Vardas105           Pavarde105          6.17                
Vardas106           Pavarde106          4.59                
Vardas107           Pavarde107          4.64                
Vardas108           Pavarde108          3.05                
Vardas109           Pavarde109          4.25                
Vardas110           Pavarde110          7.69                
Vardas111           Pavarde111          5.16                
Vardas112           Pavarde112          5.87                
Vardas113           Pavarde113          4.87                
Vardas114           Pavarde114          5.47                
Vardas115           Pavarde115          5.43                
Vardas116           Pavarde116          7.33                
Vardas117           Pavarde117          7.32                
Vardas118           Pavarde118          5.27                
Vardas119           Pavarde119          7.04                
Vardas120           Pavarde120          5.35                
Vardas121           Pavarde121          7.76                
Vardas122           Pavarde122          7.84                
Vardas123           Pavarde123          3.59                
Vardas124           Pavarde124          2.73                
Vardas125           Pavarde125          5.24                
Vardas126           Pavarde126          7.51                
Vardas127           Pavarde127          5.79                
Vardas128           Pavarde128          4.68                
Vardas129           Pavarde129          3.84                
Vardas130           Pavarde130          7.20                
Vardas131           Pavarde131          4.51                
Vardas132           Pavarde132          3.29                
Vardas133           Pavarde133          5.23                
Vardas134           Pavarde134          3.51                
Vardas135           Pavarde135          2.95                
Vardas136           Pavarde136          7.63                
Vardas137           Pavarde137          4.56                
Vardas138           Pavarde138          3.99                
Vardas139           Pavarde139          5.40                
Vardas140           Pavarde140          8.51                
Vardas141           Pavarde141          3.52                
Vardas142           Pavarde142          7.53                
Vardas143           Pavarde143          4.65                
Vardas144           Pavarde144          5.05                
Vardas145           Pavarde145          5.35                
Vardas146           Pavarde146          3.80                
Vardas147           Pavarde147          3.00                
Vardas148           Pavarde148          7.40                
Vardas149           Pavarde149          4.80                
Vardas150           Pavarde150          6.15                
Vardas151           Pavarde151          4.32                
Vardas152           Pavarde152          6.03                
Vardas153           Pavarde153          2.63                
Vardas154           Pavarde154          3.88                
Vardas155           Pavarde155          3.57                
Vardas156           Pavarde156          6.83                
Vardas157           Pavarde157          3.61                
Vardas158           Pavarde158          2.49                
Vardas159           Pavarde159          6.04                
Vardas160           Pavarde160          5.69                
Vardas161           Pavarde161          6.65                
Vardas162           Pavarde162          2.87                
Vardas163           Pavarde163          6.39                
Vardas164           Pavarde164          7.64                
Vardas165           Pavarde165          3.19                
Vardas166           Pavarde166          6.53                
Vardas167           Pavarde167          7.32                
Vardas168           Pavarde168          3.23                
Vardas169           Pavarde169          6.91                
Vardas170           Pavarde170          2.52                
Vardas171           Pavarde171          2.79                
Vardas172           Pavarde172          4.69                
Vardas173           Pavarde173          7.21                
Vardas174           Pavarde174          3.52                
Vardas175           Pavarde175          5.89                
Vardas176           Pavarde176          7.77                
Vardas177           Pavarde177          6.00                
Vardas178           Pavarde178          3.19                
Vardas179           Pavarde179          3.49                
Vardas180           Pavarde180          3.80                
Vardas181           Pavarde181          6.48                
Vardas182           Pavarde182          5.04                
Vardas183           Pavarde183          4.97                
Vardas184           Pavarde184          6.33                
Vardas185           Pavarde185          7.85                
Vardas186           Pavarde186          6.31                
Vardas187           Pavarde187          3.80                
Vardas188           Pavarde188          2.65                
Vardas189           Pavarde189          8.11                
Vardas190           Pavarde190          4.75                
Vardas191           Pavarde191          2.28                
Vardas192           Pavarde192          4.64                
Vardas193           Pavarde193          3.80                
Vardas194           Pavarde194          5.84                
Vardas195           Pavarde195          4.84                
Vardas196           Pavarde196          4.40                
Vardas197           Pavarde197          4.97                
Vardas198           Pavarde198          5.73                
Vardas199           Pavarde199          4.00                
Vardas200           Pavarde200          5.00                
Vardas201           Pavarde201          5.69                
Vardas202           Pavarde202          3.60                
Vardas203           Pavarde203          7.71                
Vardas204           Pavarde204          5.40                
Vardas205           Pavarde205          4.89                
Vardas206           Pavarde206          7.23                
Vardas207           Pavarde207          3.69                
Vardas208           Pavarde208          7.79                
Vardas209           Pavarde209          6.13                
Vardas210           Pavarde210          3.55                
Vardas211           Pavarde211          5.79                
Vardas212           Pavarde212          7.20                
Vardas213           Pavarde213          3.91                
Vardas214           Pavarde214          3.71                
Vardas215           Pavarde215          2.33                
Vardas216           Pavarde216          3.05                
Vardas217           Pavarde217          8.21                
Vardas218           Pavarde218          3.79                
Vardas219           Pavarde219          7.08                
Vardas220           Pavarde220          7.40                
Vardas221           Pavarde221          6.24                
Vardas222           Pavarde222          2.71                
Vardas223           Pavarde223          8.27                
Vardas224           Pavarde224          6.99                
Vardas225           Pavarde225          7.23                
Vardas226           Pavarde226          3.73                
Vardas227           Pavarde227          7.52                
Vardas228           Pavarde228          4.72                
Vardas229           Pavarde229          6.51                
Vardas230           Pavarde230          5.08                
Vardas231           Pavarde231          3.05                
Vardas232           Pavarde232          3.88                
Vardas233           Pavarde233          6.39                
Vardas234           Pavarde234          4.08                
Vardas235           Pavarde235          3.84                
Vardas236           Pavarde236          4.93                
Vardas237           Pavarde237          3.28                
Vardas238           Pavarde238          4.95                
Vardas239           Pavarde239          3.40                
Vardas240           Pavarde240          7.19                
Vardas241           Pavarde241          5.37                
Vardas242           Pavarde242          5.01                
Vardas243           Pavarde243          6.44                
Vardas244           Pavarde244          6.31                
Vardas245           Pavarde245          4.97                
Vardas246           Pavarde246          4.25                
Vardas247           Pavarde247          8.51                
Vardas248           Pavarde248          4.45                
Vardas249           Pavarde249          7.83                
Vardas250           Pavarde250          2.92                
Vardas251           Pavarde251          8.08                
Vardas252           Pavarde252          5.87                
Vardas253           Pavarde253          3.43                
Vardas254           Pavarde254          7.45                
Vardas255           Pavarde255          3.80                
Vardas256           Pavarde256          2.73                
Vardas257           Pavarde257          8.11                
Vardas258           Pavarde258          2.87                
Vardas259           Pavarde259          4.93                
Vardas260           Pavarde260          4.01                
Vardas261           Pavarde261          3.03                
Vardas262           Pavarde262          5.80                
Vardas263           Pavarde263          2.65                
Vardas264           Pavarde264          9.25                
Vardas265           Pavarde265          3.65                
Vardas266           Pavarde266          6.49                
Vardas267           Pavarde267          2.79                
Vardas268           Pavarde268          6.75                
Vardas269           Pavarde269          6.24                
Vardas270           Pavarde270          3.69                
Vardas271           Pavarde271          6.85                
Vardas272           Pavarde272          5.35                
Vardas273           Pavarde273          5.12                
Vardas274           Pavarde274          7.85                
Vardas275           Pavarde275          3.68                
Vardas276           Pavarde276          4.01                
Vardas277           Pavarde277          6.69                
Vardas278           Pavarde278          4.64                
Vardas279           Pavarde279          5.04                
Vardas280           Pavarde280          4.59                
Vardas281           Pavarde281          6.63                
Vardas282           Pavarde282          3.00                
Vardas283           Pavarde283          5.63                
Vardas284           Pavarde284          7.68                
Vardas285           Pavarde285          6.03                
Vardas286           Pavarde286          6.64                
Vardas287           Pavarde287          2.65                
Vardas288           Pavarde288          7.37                
Vardas289           Pavarde289          3.67                
Vardas290           Pavarde290          2.73                
Vardas291           Pavarde291          4.73                
Vardas292           Pavarde292          7.33                
Vardas293           Pavarde293          4.25                
Vardas294           Pavarde294          6.69                
Vardas295           Pavarde295          6.96                
Vardas296           Pavarde296          3.96                
Vardas297           Pavarde297          5.29                
Vardas298           Pavarde298          4.51                
Vardas299           Pavarde299          4.43                
Vardas300           Pavarde300          2.25                
Vardas301           Pavarde301          2.71                
Vardas302           Pavarde302          4.05                
Vardas303           Pavarde303          6.88                
Vardas304           Pavarde304          5.63                
Vardas305           Pavarde305          8.29                
Vardas306           Pavarde306          6.32                
Vardas307           Pavarde307          6.85                
Vardas308           Pavarde308          6.69                
Vardas309           Pavarde309          7.73                
Vardas310           Pavarde310          5.65                
Vardas311           Pavarde311          3.80                
Vardas312           Pavarde312          7.69                
Vardas313           Pavarde313          4.37                
Vardas314           Pavarde314          4.99                
Vardas315           Pavarde315          4.73                
Vardas316           Pavarde316          2.65                
Vardas317           Pavarde317          7.81                
Vardas318           Pavarde318          8.43                
Vardas319           Pavarde319          3.41                
Vardas320           Pavarde320          5.15                
Vardas321           Pavarde321          5.40                
Vardas322           Pavarde322          4.91                
Vardas323           Pavarde323          3.00                
Vardas324           Pavarde324          8.24                
Vardas325           Pavarde325          5.92                
Vardas326           Pavarde326          3.72                
Vardas327           Pavarde327          7.01                
Vardas328           Pavarde328          3.91                
Vardas329           Pavarde329          6.28                
Vardas330           Pavarde330          8.45                
Vardas331           Pavarde331          7.79                
Vardas332           Pavarde332          7.43                
Vardas333           Pavarde333          5.27                
Vardas334           Pavarde334          6.49                
Vardas335           Pavarde335          4.39                
Vardas336           Pavarde336          4.45                
Vardas337           Pavarde337          6.47                
Vardas338           Pavarde338          4.67                
Vardas339           Pavarde339          4.01                
Vardas340           Pavarde340          7.36                
Vardas341           Pavarde341          2.47                
Vardas342           Pavarde342          3.93                
Vardas343           Pavarde343          5.76                
Vardas344           Pavarde344          3.83                
Vardas345           Pavarde345          8.05                
Vardas346           Pavarde346          5.41                
Vardas347           Pavarde347          7.51                
Vardas348           Pavarde348          6.88                
Vardas349           Pavarde349          5.53                
Vardas350           Pavarde350          3.64                
Vardas351           Pavarde351          6.75                
Vardas352           Pavarde352          6.23                
Vardas353           Pavarde353          5.57                
Vardas354           Pavarde354          7.48                
Vardas355           Pavarde355          8.35                
Vardas356           Pavarde356          7.67                
Vardas357           Pavarde357          6.19                
Vardas358           Pavarde358          7.40                
Vardas359           Pavarde359          3.69                
Vardas360           Pavarde360          8.61                
Vardas361           Pavarde361          6.83                
Vardas362           Pavarde362          3.13                
Vardas363           Pavarde363          3.16                
Vardas364           Pavarde364          4.59                
Vardas365           Pavarde365          6.51                
Vardas366           Pavarde366          7.56                
Vardas367           Pavarde367          8.27                
Vardas368           Pavarde368          2.60                
Vardas369           Pavarde369          3.72                
Vardas370           Pavarde370          4.65                
Vardas371           Pavarde371          7.21                
Vardas372           Pavarde372          5.24                
Vardas373           Pavarde373          3.41                
Vardas374           Pavarde374          7.64                
Vardas375           Pavarde375          3.68                
Vardas376           Pavarde376          3.57                
Vardas377           Pavarde377          6.36                
Vardas378           Pavarde378          3.08                
Vardas379           Pavarde379          5.97                
Vardas380           Pavarde380          7.76                
Vardas381           Pavarde381          6.31                
Vardas382           Pavarde382          6.85                
Vardas383           Pavarde383          7.83                
Vardas384           Pavarde384          4.95                
Vardas385           Pavarde385          7.43                
Vardas386           Pavarde386          4.36                
Vardas387           Pavarde387          5.05                
Vardas388           Pavarde388          5.35                
Vardas389           Pavarde389          6.17                
Vardas390           Pavarde390          5.97                
Vardas391           Pavarde391          2.41                
Vardas392           Pavarde392          3.17                
Vardas393           Pavarde393          7.17                
Vardas394           Pavarde394          3.19                
Vardas395           Pavarde395          5.16                
Vardas396           Pavarde396          5.44                
Vardas397           Pavarde397          3.40                
Vardas398           Pavarde398          6.13                
Vardas399           Pavarde399          3.52                
Vardas400           Pavarde400          4.25                
Vardas401           Pavarde401          8.00                
Vardas402           Pavarde402          5.35                
Vardas403           Pavarde403          7.60                
Vardas404           Pavarde404          7.07                
Vardas405           Pavarde405          7.92                
Vardas406           Pavarde406          7.07                
Vardas407           Pavarde407          4.09                
Vardas408           Pavarde408          7.64                
