Vardas              Pavarde             Galutinis(vid)      
_______________________________________________________
Vardas0             Pavarde0            7.75                
Vardas1             Pavarde1            2.71                
Vardas2             Pavarde2            3.65                
Vardas3             Pavarde3            4.88                
Vardas4             Pavarde4            3.85                
Vardas5             Pavarde5            6.99                
Vardas6             Pavarde6            3.93                
Vardas7             Pavarde7            4.01                
Vardas8             Pavarde8            4.32                
Vardas9             Pavarde9            4.97                
Vardas10            Pavarde10           4.61                
Vardas11            Pavarde11           4.09                
Vardas12            Pavarde12           7.77                
Vardas13            Pavarde13           6.52                
Vardas14            Pavarde14           4.44                
Vardas15            Pavarde15           5.79                
Vardas16            Pavarde16           3.28                
Vardas17            Pavarde17           4.73                
Vardas18            Pavarde18           3.99                
Vardas19            Pavarde19           4.32                
Vardas20            Pavarde20           6.77                
Vardas21            Pavarde21           7.27                
Vardas22            Pavarde22           7.64                
Vardas23            Pavarde23           4.75                
Vardas24            Pavarde24           7.61                
Vardas25            Pavarde25           2.99                
Vardas26            Pavarde26           3.80                
Vardas27            Pavarde27           4.75                
Vardas28            Pavarde28           6.41                
Vardas29            Pavarde29           4.51                
Vardas30            Pavarde30           6.39                
Vardas31            Pavarde31           7.64                
Vardas32            Pavarde32           6.75                
Vardas33            Pavarde33           7.23                
Vardas34            Pavarde34           8.33                
Vardas35            Pavarde35           4.73                
Vardas36            Pavarde36           2.93                
Vardas37            Pavarde37           5.71                
Vardas38            Pavarde38           4.92                
Vardas39            Pavarde39           3.25                
Vardas40            Pavarde40           3.80                
Vardas41            Pavarde41           5.16                
Vardas42            Pavarde42           3.83                
Vardas43            Pavarde43           3.11                
Vardas44            Pavarde44           7.35                
Vardas45            Pavarde45           4.77                
Vardas46            Pavarde46           7.12                
Vardas47            Pavarde47           2.85                
Vardas48            Pavarde48           4.13                
Vardas49            Pavarde49           5.05                
Vardas50            Pavarde50           4.89                
Vardas51            Pavarde51           3.89                
Vardas52            Pavarde52           6.00                
Vardas53            Pavarde53           6.36                
Vardas54            Pavarde54           4.93                
Vardas55            Pavarde55           5.48                
Vardas56            Pavarde56           2.68                
Vardas57            Pavarde57           8.17                
Vardas58            Pavarde58           6.73                
Vardas59            Pavarde59           7.80                
Vardas60            Pavarde60           4.95                
Vardas61            Pavarde61           2.39                
Vardas62            Pavarde62           5.12                
Vardas63            Pavarde63           7.15                
Vardas64            Pavarde64           4.75                
Vardas65            Pavarde65           4.35                
Vardas66            Pavarde66           7.24                
Vardas67            Pavarde67           2.44                
Vardas68            Pavarde68           7.24                
Vardas69            Pavarde69           5.11                
Vardas70            Pavarde70           8.13                
Vardas71            Pavarde71           4.93                
Vardas72            Pavarde72           8.43                
Vardas73            Pavarde73           7.39                
Vardas74            Pavarde74           4.27                
Vardas75            Pavarde75           4.56                
Vardas76            Pavarde76           5.76                
Vardas77            Pavarde77           7.25                
Vardas78            Pavarde78           5.25                
Vardas79            Pavarde79           5.45                
Vardas80            Pavarde80           4.09                
Vardas81            Pavarde81           5.23                
Vardas82            Pavarde82           8.40                
Vardas83            Pavarde83           5.24                
Vardas84            Pavarde84           7.93                
Vardas85            Pavarde85           6.05                
Vardas86            Pavarde86           6.69                
Vardas87            Pavarde87           8.13                
Vardas88            Pavarde88           8.56                
Vardas89            Pavarde89           3.48                
Vardas90            Pavarde90           3.15                
