Vardas              Pavarde             Galutinis(vid)      
_______________________________________________________
Vardas112           Pavarde112          5.00                
Vardas119           Pavarde119          5.00                
Vardas210           Pavarde210          5.00                
Vardas355           Pavarde355          5.00                
Vardas368           Pavarde368          5.00                
Vardas429           Pavarde429          5.00                
Vardas632           Pavarde632          5.00                
Vardas913           Pavarde913          5.00                
Vardas976           Pavarde976          5.00                
Vardas71            Pavarde71           5.07                
Vardas207           Pavarde207          5.07                
Vardas228           Pavarde228          5.07                
Vardas450           Pavarde450          5.07                
Vardas487           Pavarde487          5.07                
Vardas602           Pavarde602          5.07                
Vardas703           Pavarde703          5.07                
Vardas736           Pavarde736          5.07                
Vardas772           Pavarde772          5.07                
Vardas833           Pavarde833          5.07                
Vardas171           Pavarde171          5.13                
Vardas216           Pavarde216          5.13                
Vardas232           Pavarde232          5.13                
Vardas401           Pavarde401          5.13                
Vardas434           Pavarde434          5.13                
Vardas499           Pavarde499          5.13                
Vardas588           Pavarde588          5.13                
Vardas598           Pavarde598          5.13                
Vardas800           Pavarde800          5.13                
Vardas816           Pavarde816          5.13                
Vardas896           Pavarde896          5.13                
Vardas940           Pavarde940          5.13                
Vardas962           Pavarde962          5.13                
Vardas964           Pavarde964          5.13                
Vardas10            Pavarde10           5.20                
Vardas145           Pavarde145          5.20                
Vardas290           Pavarde290          5.20                
Vardas447           Pavarde447          5.20                
Vardas530           Pavarde530          5.20                
Vardas621           Pavarde621          5.20                
Vardas788           Pavarde788          5.20                
Vardas849           Pavarde849          5.20                
Vardas886           Pavarde886          5.20                
Vardas910           Pavarde910          5.20                
Vardas995           Pavarde995          5.20                
Vardas239           Pavarde239          5.27                
Vardas385           Pavarde385          5.27                
Vardas660           Pavarde660          5.27                
Vardas287           Pavarde287          5.27                
Vardas310           Pavarde310          5.27                
Vardas311           Pavarde311          5.27                
Vardas408           Pavarde408          5.27                
Vardas676           Pavarde676          5.27                
Vardas869           Pavarde869          5.27                
Vardas88            Pavarde88           5.33                
Vardas402           Pavarde402          5.33                
Vardas613           Pavarde613          5.33                
Vardas639           Pavarde639          5.33                
Vardas640           Pavarde640          5.33                
Vardas900           Pavarde900          5.33                
Vardas59            Pavarde59           5.40                
Vardas121           Pavarde121          5.40                
Vardas364           Pavarde364          5.40                
Vardas507           Pavarde507          5.40                
Vardas712           Pavarde712          5.40                
Vardas730           Pavarde730          5.40                
Vardas790           Pavarde790          5.40                
Vardas877           Pavarde877          5.40                
Vardas884           Pavarde884          5.40                
Vardas946           Pavarde946          5.40                
Vardas17            Pavarde17           5.47                
Vardas50            Pavarde50           5.47                
Vardas67            Pavarde67           5.47                
Vardas150           Pavarde150          5.47                
Vardas277           Pavarde277          5.47                
Vardas407           Pavarde407          5.47                
Vardas415           Pavarde415          5.47                
Vardas550           Pavarde550          5.47                
Vardas697           Pavarde697          5.47                
Vardas744           Pavarde744          5.47                
Vardas752           Pavarde752          5.47                
Vardas848           Pavarde848          5.47                
Vardas35            Pavarde35           5.53                
Vardas123           Pavarde123          5.53                
Vardas271           Pavarde271          5.53                
Vardas309           Pavarde309          5.53                
Vardas370           Pavarde370          5.53                
Vardas538           Pavarde538          5.53                
Vardas555           Pavarde555          5.53                
Vardas670           Pavarde670          5.53                
Vardas692           Pavarde692          5.53                
Vardas116           Pavarde116          5.60                
Vardas127           Pavarde127          5.60                
Vardas215           Pavarde215          5.60                
Vardas392           Pavarde392          5.60                
Vardas515           Pavarde515          5.60                
Vardas592           Pavarde592          5.60                
Vardas782           Pavarde782          5.60                
Vardas968           Pavarde968          5.60                
Vardas969           Pavarde969          5.60                
Vardas68            Pavarde68           5.67                
Vardas105           Pavarde105          5.67                
Vardas132           Pavarde132          5.67                
Vardas181           Pavarde181          5.67                
Vardas443           Pavarde443          5.67                
Vardas560           Pavarde560          5.67                
Vardas765           Pavarde765          5.67                
Vardas914           Pavarde914          5.67                
Vardas917           Pavarde917          5.67                
Vardas932           Pavarde932          5.67                
Vardas967           Pavarde967          5.67                
Vardas329           Pavarde329          5.73                
Vardas348           Pavarde348          5.73                
Vardas929           Pavarde929          5.73                
Vardas18            Pavarde18           5.73                
Vardas83            Pavarde83           5.73                
Vardas168           Pavarde168          5.73                
Vardas180           Pavarde180          5.73                
Vardas327           Pavarde327          5.73                
Vardas633           Pavarde633          5.73                
Vardas668           Pavarde668          5.73                
Vardas701           Pavarde701          5.73                
Vardas715           Pavarde715          5.73                
Vardas779           Pavarde779          5.73                
Vardas786           Pavarde786          5.73                
Vardas952           Pavarde952          5.73                
Vardas7             Pavarde7            5.80                
Vardas27            Pavarde27           5.80                
Vardas84            Pavarde84           5.80                
Vardas361           Pavarde361          5.80                
Vardas383           Pavarde383          5.80                
Vardas726           Pavarde726          5.80                
Vardas749           Pavarde749          5.80                
Vardas847           Pavarde847          5.80                
Vardas860           Pavarde860          5.80                
Vardas907           Pavarde907          5.80                
Vardas919           Pavarde919          5.80                
Vardas965           Pavarde965          5.80                
Vardas90            Pavarde90           5.87                
Vardas113           Pavarde113          5.87                
Vardas156           Pavarde156          5.87                
Vardas190           Pavarde190          5.87                
Vardas206           Pavarde206          5.87                
Vardas257           Pavarde257          5.87                
